Time,RPM,MAP,TPS,AFR,Lambda,IAT,CLT,Ign Adv,Inj PW,Battery V,Boost psi
1.7,867,38.1,3.6,14.41,0.981,28.6,88.7,12.7,1.9,13.81,0
1.75,849,37.4,2.0,14.9,1.013,28.0,88.8,13.1,2.09,13.7,0
1.8,904,35.0,2.7,15.0,1.021,28.7,88.5,12.6,1.72,13.8,0
1.85,874,35.0,3.3,14.75,1.003,28.7,88.7,13.3,1.8,13.76,0
1.9,891,35.3,2.7,14.96,1.018,28.5,88.5,12.6,1.89,13.85,0
1.95,880,36.5,2.9,14.79,1.006,28.6,88.9,12.2,1.99,13.82,0
2.0,882,35.0,2.2,14.59,0.992,28.7,89.0,11.7,1.98,13.91,0
2.05,885,35.6,1.9,14.69,0.999,28.8,88.6,11.3,1.88,13.76,0
2.1,874,37.0,3.6,14.58,0.992,28.5,88.8,12.2,2.02,13.83,0
2.15,897,36.3,3.4,14.87,1.012,29.1,88.9,12.0,1.89,13.79,0
2.2,869,36.0,3.0,14.56,0.991,28.1,88.8,12.0,1.92,13.8,0
2.25,879,38.0,3.3,14.61,0.994,28.3,88.7,12.0,2.01,13.76,0
2.3,890,36.9,2.9,14.87,1.012,28.4,89.0,12.4,1.9,13.82,0
2.35,911,36.6,2.4,14.69,0.999,28.3,89.0,12.1,1.94,13.83,0
2.4,907,37.0,3.9,14.69,1.0,28.3,88.9,12.5,2.14,13.71,0
2.45,852,34.1,1.8,14.86,1.011,28.5,89.0,11.6,1.83,13.74,0
2.5,912,35.3,2.4,14.72,1.001,28.9,88.6,12.2,2.06,13.76,0
2.55,884,37.6,3.2,14.68,0.999,28.9,88.9,12.8,1.89,13.87,0
2.6,892,35.1,2.7,14.8,1.007,28.3,89.1,11.9,1.93,13.73,0
2.65,883,35.2,3.4,14.69,0.999,29.3,89.2,12.4,1.79,13.69,0
2.7,874,35.1,3.3,14.64,0.996,28.9,89.0,12.4,1.95,13.75,0
2.75,915,37.2,2.7,14.62,0.995,28.9,88.8,12.3,1.94,13.83,0
2.8,918,38.0,3.1,14.83,1.009,29.1,89.2,12.8,2.01,13.79,0
2.85,883,34.0,3.0,14.7,1.0,29.1,89.2,12.5,1.99,13.79,0
2.9,883,35.0,2.3,14.5,0.986,29.2,89.0,12.5,1.87,13.85,0
2.95,915,36.3,2.7,14.62,0.995,29.4,89.0,11.4,2.01,13.77,0
3.0,916,36.4,1.8,14.72,1.001,29.4,89.0,11.8,2.08,13.79,0
3.05,939,35.6,4.0,14.91,1.014,28.7,89.5,13.0,2.02,13.89,0
3.1,992,36.9,5.1,14.76,1.004,29.4,88.8,12.2,2.01,13.88,0
3.15,1057,36.8,6.2,14.66,0.997,28.3,89.1,12.3,2.04,13.87,0
3.2,1062,37.8,8.0,14.8,1.007,29.2,89.1,13.1,2.29,13.8,0
3.25,1116,40.9,8.7,14.67,0.998,29.0,89.2,13.4,2.26,13.86,0
3.3,1152,41.9,11.5,14.51,0.987,29.6,89.3,15.0,2.29,13.68,0
3.35,1215,40.3,11.7,14.31,0.973,29.3,89.1,13.9,2.35,13.73,0
3.4,1243,41.6,12.9,14.59,0.992,29.1,89.0,14.0,2.26,13.76,0
3.45,1311,44.9,14.6,14.26,0.97,29.4,88.9,14.2,2.54,13.76,0
3.5,1366,44.7,15.7,14.65,0.997,29.3,89.3,14.7,2.63,13.71,0
3.55,1390,45.8,17.7,14.48,0.985,29.0,89.4,14.7,2.7,13.7,0
3.6,1422,46.8,18.4,14.56,0.99,29.4,89.1,15.6,2.64,13.81,0
3.65,1492,47.8,19.9,14.31,0.973,29.3,89.3,15.1,2.84,13.67,0
3.7,1530,46.3,20.5,14.42,0.981,29.6,89.3,14.5,2.85,13.69,0
3.75,1558,45.3,22.1,14.45,0.983,29.2,89.4,16.0,2.74,13.75,0
3.8,1633,48.7,23.4,14.29,0.972,29.2,89.1,16.0,3.13,13.69,0
3.85,1630,48.6,24.9,14.1,0.959,29.5,89.1,15.2,2.86,13.64,0
3.9,1709,51.9,25.8,14.47,0.984,29.3,89.5,16.3,3.05,13.69,0
3.95,1730,51.9,27.8,14.19,0.965,29.5,89.3,16.7,3.31,13.75,0
4.0,1828,54.4,29.2,14.01,0.953,29.3,89.3,18.8,3.3,13.79,0
4.05,1847,53.7,29.1,14.35,0.976,29.2,89.3,16.7,3.29,13.71,0
4.1,1878,53.4,31.4,13.84,0.941,29.3,89.9,17.0,3.57,13.73,0
4.15,1913,55.5,31.9,13.94,0.948,29.7,89.8,18.6,3.47,13.7,0
4.2,1960,56.6,33.5,14.31,0.974,29.5,89.3,17.7,3.54,13.59,0
4.25,2010,57.4,34.2,14.51,0.987,29.4,89.6,18.7,3.72,13.75,0
4.3,2059,61.1,36.1,14.05,0.956,29.7,89.3,17.9,4.02,13.68,0
4.35,2092,61.3,37.3,14.19,0.966,29.4,89.7,18.3,3.97,13.66,0
4.4,2176,58.5,38.0,14.38,0.978,29.0,89.5,17.5,4.16,13.68,0
4.45,2212,56.3,38.4,13.9,0.946,29.5,89.3,18.6,3.89,13.66,0
4.5,2187,61.1,40.1,14.26,0.97,29.6,89.5,18.6,4.15,13.68,0
4.55,2222,59.4,40.8,13.77,0.937,29.6,89.8,18.2,4.26,13.69,0
4.6,2265,61.8,40.8,13.81,0.939,29.6,89.4,18.4,4.31,13.66,0
4.65,2329,61.4,40.7,13.8,0.939,29.2,89.9,19.6,4.27,13.6,0
4.7,2372,61.6,42.9,13.58,0.924,30.0,89.8,19.4,4.44,13.82,0
4.75,2403,60.7,43.3,14.13,0.961,29.4,89.5,19.8,4.53,13.57,0
4.8,2499,62.5,44.2,14.07,0.957,29.2,89.6,19.9,4.78,13.68,0
4.85,2524,61.9,45.1,13.88,0.944,30.0,89.7,20.8,4.75,13.7,0
4.9,2591,65.4,45.3,13.68,0.93,29.5,89.9,20.0,5.07,13.63,0
4.95,2598,66.8,45.9,13.9,0.946,29.8,89.5,20.3,5.0,13.63,0
5.0,2668,66.5,46.6,13.78,0.938,29.6,89.5,19.8,5.29,13.73,0
5.05,2707,64.1,46.2,13.75,0.935,29.6,89.6,20.7,5.0,13.61,0
5.1,2736,63.2,47.2,13.49,0.917,29.6,89.7,19.3,4.9,13.6,0
5.15,2799,64.9,48.5,13.68,0.931,30.0,89.3,21.1,5.28,13.62,0
5.2,2805,66.4,49.0,13.63,0.927,30.0,89.5,20.6,5.26,13.64,0
5.25,2889,66.4,50.1,14.12,0.961,29.0,90.2,20.3,5.44,13.63,0
5.3,2911,69.1,51.2,13.73,0.934,29.7,89.6,20.0,5.73,13.7,0
5.35,2942,68.1,51.5,14.11,0.96,29.6,89.9,20.9,5.47,13.66,0
5.4,3034,66.6,50.9,13.91,0.946,29.8,90.1,21.4,5.89,13.73,0
5.45,3083,69.5,52.9,13.51,0.919,29.8,89.9,20.3,6.08,13.61,0
5.5,3105,67.0,53.3,13.67,0.93,29.7,90.1,21.2,5.84,13.73,0
5.55,3147,70.6,54.4,13.1,0.891,30.2,90.0,20.9,6.1,13.66,0
5.6,3212,67.9,54.0,13.4,0.911,30.0,89.8,21.1,6.05,13.68,0
5.65,3261,71.3,55.9,13.64,0.928,29.8,90.3,21.9,6.45,13.72,0
5.7,3323,70.6,55.8,13.68,0.931,30.0,90.0,21.5,6.5,13.72,0
5.75,3341,71.9,56.5,13.61,0.926,29.7,90.0,21.8,6.55,13.57,0
5.8,3387,72.0,56.5,13.73,0.934,30.2,89.7,21.7,6.63,13.58,0
5.85,3428,71.4,57.9,13.35,0.908,29.7,90.1,21.9,6.61,13.62,0
5.9,3493,73.1,58.8,13.59,0.925,29.6,90.7,21.6,6.81,13.57,0
5.95,3518,71.7,58.9,13.41,0.912,29.7,90.1,21.1,6.73,13.59,0
6.0,3556,71.8,59.9,13.69,0.931,29.7,90.2,22.0,6.92,13.6,0
6.05,3618,72.9,60.6,13.52,0.92,30.4,90.2,22.1,7.22,13.56,0
6.1,3641,72.9,60.7,13.55,0.922,30.2,89.8,21.9,7.24,13.59,0
6.15,3665,72.8,61.3,13.38,0.911,30.0,90.5,22.3,7.11,13.68,0
6.2,3732,72.3,63.0,13.33,0.906,30.4,89.9,23.5,6.99,13.6,0
6.25,3792,74.0,63.9,13.42,0.913,30.0,90.2,23.2,7.44,13.61,0
6.3,3853,74.2,63.2,13.49,0.918,30.2,90.1,22.6,7.56,13.57,0
6.35,3892,76.9,63.8,13.47,0.916,30.3,90.4,22.2,7.91,13.67,0
6.4,3926,74.8,64.7,13.27,0.903,30.3,90.2,22.6,7.78,13.57,0
6.45,3982,74.7,65.4,13.38,0.91,30.5,90.4,23.0,7.73,13.61,0
6.5,4024,76.9,66.6,13.52,0.92,30.4,90.5,24.1,8.11,13.58,0
6.55,4051,75.1,67.4,13.64,0.928,30.3,90.7,23.9,8.01,13.55,0
6.6,4096,77.0,67.3,13.22,0.899,30.1,90.7,23.5,8.25,13.53,0
6.65,4140,77.8,68.5,13.41,0.913,30.2,90.2,23.3,8.29,13.62,0
6.7,4197,79.6,69.3,13.49,0.918,30.6,90.3,24.2,8.73,13.58,0
6.75,4223,77.9,69.8,13.39,0.911,30.1,90.3,24.1,8.41,13.56,0
6.8,4298,79.0,69.7,13.08,0.89,30.0,90.3,22.7,8.85,13.52,0
6.85,4320,78.9,70.7,13.46,0.916,30.6,90.6,24.2,8.78,13.61,0
6.9,4381,83.1,72.1,13.39,0.911,30.7,90.2,25.1,9.41,13.53,0
6.95,4432,79.1,71.4,13.43,0.914,30.0,90.4,23.7,9.07,13.64,0
7.0,4481,83.6,73.1,13.47,0.916,30.3,90.5,23.9,9.69,13.58,0
7.05,4540,81.7,73.0,13.35,0.908,30.8,90.3,24.8,9.45,13.64,0
7.1,4574,81.9,73.5,13.29,0.904,30.4,90.2,24.3,9.49,13.66,0
7.15,4598,83.7,74.6,13.33,0.907,30.4,90.3,25.0,9.94,13.62,0
7.2,4672,80.6,75.4,13.42,0.913,30.8,90.3,25.0,9.46,13.55,0
7.25,4689,81.6,75.9,13.13,0.893,30.7,90.8,25.2,9.76,13.55,0
7.3,4753,86.2,77.1,13.34,0.907,30.9,90.2,25.7,10.44,13.61,0
7.35,4800,83.1,77.5,13.13,0.893,30.1,90.6,25.3,10.18,13.54,0
7.4,4828,83.9,78.4,13.08,0.89,30.6,90.4,24.9,10.26,13.52,0
7.45,4885,83.2,79.0,13.24,0.901,30.3,90.5,25.0,10.54,13.57,0
7.5,4920,88.0,79.9,13.09,0.891,30.6,90.9,25.6,10.81,13.6,0
7.55,4966,87.7,80.9,13.21,0.898,30.4,90.8,25.4,10.93,13.54,0
7.6,4991,86.5,81.3,13.29,0.904,31.0,90.8,25.7,10.85,13.57,0
7.65,5119,86.5,81.4,13.39,0.911,30.3,90.8,25.3,10.98,13.59,0
7.7,5127,87.8,81.4,13.3,0.905,30.9,90.8,25.7,11.25,13.59,0
7.75,5145,85.3,82.7,13.2,0.898,30.8,90.4,26.2,10.98,13.59,0
7.8,5200,89.3,83.5,12.98,0.883,30.8,90.9,26.7,11.57,13.49,0
7.85,5262,89.6,84.1,13.05,0.887,30.8,90.5,26.0,11.75,13.54,0
7.9,5317,87.1,84.7,13.17,0.896,30.8,90.8,25.4,11.32,13.56,0
7.95,5330,86.7,85.3,13.09,0.89,30.9,90.5,25.6,11.49,13.52,0
8.0,5401,87.5,86.9,13.08,0.89,31.3,91.0,25.7,11.6,13.5,0
8.05,5438,90.1,87.1,13.36,0.909,30.8,90.7,26.6,11.83,13.53,0
8.1,5481,88.2,87.1,13.23,0.9,31.1,91.0,26.6,11.92,13.6,0
8.15,5510,89.8,88.4,13.18,0.896,30.9,90.5,26.2,12.01,13.52,0
8.2,5571,88.5,88.5,12.83,0.873,31.3,91.0,25.9,12.18,13.51,0
8.25,5636,91.9,88.7,12.97,0.882,30.7,91.1,26.4,12.82,13.53,0
8.3,5699,93.5,89.9,13.07,0.889,30.6,90.5,25.7,13.23,13.57,0
8.35,5724,91.8,90.7,13.2,0.898,31.2,90.7,26.6,12.85,13.5,0
8.4,5738,90.1,90.2,13.15,0.895,30.6,91.1,25.7,12.68,13.53,0
8.45,5807,91.2,91.9,12.79,0.87,31.2,90.3,26.6,13.01,13.58,0
8.5,5792,92.9,93.1,12.93,0.879,31.3,90.9,26.5,13.11,13.59,0
8.55,5827,92.1,92.4,12.9,0.878,30.9,91.2,26.4,12.97,13.46,0
8.6,5849,93.4,92.0,12.77,0.869,31.4,91.3,26.4,13.44,13.59,0
8.65,5849,94.9,91.8,12.75,0.867,31.2,91.4,26.0,13.65,13.52,0
8.7,5836,93.5,92.5,12.88,0.876,30.6,91.2,26.9,13.35,13.47,0
8.75,5902,91.4,92.9,13.09,0.89,31.4,91.2,27.4,13.04,13.53,0
8.8,5897,92.7,93.2,13.13,0.893,31.6,90.9,25.5,13.59,13.52,0
8.85,5928,93.2,92.8,12.87,0.875,31.1,91.2,26.8,13.47,13.51,0
8.9,5910,91.0,92.6,12.75,0.868,31.2,91.2,25.3,13.13,13.48,0
8.95,5923,91.4,92.9,12.74,0.867,31.2,91.0,26.5,13.14,13.64,0
9.0,5926,93.5,93.6,12.8,0.87,30.9,91.3,26.3,13.58,13.54,0
9.05,5988,96.0,93.4,12.89,0.877,31.2,91.0,25.2,14.08,13.57,0
9.1,5977,94.3,94.4,13.01,0.885,30.9,91.4,26.5,13.82,13.52,0
9.15,6030,95.5,94.2,12.79,0.87,30.9,91.0,25.9,14.06,13.51,0
9.2,6014,96.1,94.3,12.84,0.874,31.2,91.3,26.5,14.07,13.41,0
9.25,6031,92.8,94.0,12.62,0.859,31.5,91.2,25.9,13.5,13.43,0
9.3,6036,93.9,94.8,12.85,0.874,30.8,91.3,26.0,13.82,13.49,0
9.35,6105,93.9,94.5,13.04,0.887,31.0,91.6,26.0,14.01,13.49,0
9.4,6082,94.6,95.3,12.88,0.876,31.0,91.4,26.4,14.1,13.47,0
9.45,6081,96.4,94.6,13.13,0.893,31.1,91.1,27.4,14.27,13.6,0
9.5,6084,93.9,94.9,13.15,0.895,31.7,91.3,25.6,14.06,13.54,0
9.55,6099,94.6,95.2,12.5,0.85,30.9,91.1,26.3,14.11,13.48,0
9.6,6130,93.6,95.2,12.73,0.866,31.4,91.3,26.3,13.95,13.54,0
9.65,6151,95.6,96.0,13.0,0.885,31.7,91.8,26.7,14.17,13.46,0
9.7,6168,95.8,95.5,12.96,0.881,31.2,91.4,25.8,14.52,13.56,0
9.75,6213,96.4,95.6,12.91,0.878,31.1,91.3,25.3,14.47,13.49,0
9.8,6200,96.5,96.6,13.26,0.902,31.6,91.8,26.0,14.63,13.49,0
9.85,6228,95.0,97.0,12.84,0.874,31.2,91.8,26.3,14.36,13.5,0
9.9,6256,95.2,96.1,12.99,0.884,31.3,91.5,26.0,14.4,13.48,0
9.95,6247,94.2,95.3,12.85,0.874,31.2,91.5,25.8,14.23,13.59,0
10.0,6240,97.2,96.5,12.91,0.878,31.5,91.5,26.0,14.69,13.4,0
10.05,6266,97.3,95.8,13.0,0.884,32.3,91.4,25.7,14.88,13.58,0
10.1,6297,94.3,96.8,12.77,0.869,31.7,91.5,25.9,14.22,13.53,0
10.15,6301,94.6,98.6,12.68,0.863,31.3,91.9,26.4,14.74,13.46,0
10.2,6342,99.6,97.3,13.12,0.892,31.3,91.5,25.7,15.59,13.6,0
10.25,6327,96.3,97.1,12.92,0.879,31.7,91.7,26.2,14.72,13.58,0
10.3,6358,96.1,96.9,12.76,0.868,31.8,91.4,26.7,14.66,13.57,0
10.35,6380,97.4,97.8,12.79,0.87,31.9,91.7,26.4,15.06,13.38,0
10.4,6376,99.3,98.6,12.84,0.873,31.9,91.8,26.0,15.29,13.46,0
10.45,6409,95.7,98.6,12.8,0.87,31.6,91.6,26.3,14.96,13.48,0
10.5,6405,96.8,98.2,12.63,0.859,31.3,91.8,25.5,15.1,13.49,0
10.55,6273,97.4,95.0,12.93,0.88,31.9,92.0,25.9,14.68,13.55,0
10.6,6183,91.1,92.2,12.93,0.88,31.6,91.7,26.4,13.84,13.54,0
10.65,6067,92.3,89.4,13.04,0.887,31.7,92.0,25.6,13.58,13.55,0
10.7,5939,86.4,85.1,13.23,0.9,32.0,91.8,26.2,12.52,13.69,0
10.75,5832,87.1,83.0,13.13,0.893,32.1,91.8,25.8,12.38,13.41,0
10.8,5687,86.5,79.4,13.15,0.895,31.5,92.0,25.9,12.01,13.53,0
10.85,5563,82.1,76.5,13.29,0.904,31.7,91.8,25.2,11.22,13.57,0
10.9,5474,80.6,73.8,13.09,0.891,31.9,92.0,23.3,11.01,13.56,0
10.95,5379,78.8,70.7,13.37,0.91,31.2,92.0,23.2,10.68,13.59,0
11.0,5230,75.8,67.7,13.23,0.9,31.7,92.0,23.9,10.09,13.62,0
11.05,5139,76.7,65.2,13.34,0.908,31.6,91.7,23.6,9.98,13.56,0
11.1,4987,75.4,62.0,13.64,0.928,32.6,92.1,22.2,9.67,13.69,0
11.15,4853,70.5,58.2,13.01,0.885,31.8,92.0,21.5,8.97,13.58,0
11.2,4751,68.3,55.7,13.84,0.941,31.8,92.3,20.1,8.47,13.67,0
11.25,4610,65.8,51.3,13.61,0.926,32.2,91.7,20.1,7.97,13.56,0
11.3,4527,65.9,49.3,13.63,0.927,31.5,91.7,19.8,8.0,13.68,0
11.35,4430,62.3,46.3,13.43,0.913,32.7,92.5,19.5,7.23,13.67,0
11.4,4296,64.0,43.3,13.9,0.946,32.2,92.4,18.9,7.47,13.59,0
11.45,4164,61.4,39.9,13.88,0.944,32.0,92.5,18.5,6.79,13.76,0
11.5,4026,59.9,37.5,13.94,0.948,32.1,92.2,17.3,6.64,13.68,0
11.55,3972,55.6,33.8,14.23,0.968,32.5,91.8,17.5,5.99,13.7,0
11.6,3816,56.2,30.9,13.73,0.934,32.4,92.4,16.3,5.89,13.75,0
11.65,3724,52.3,27.1,14.01,0.953,32.1,92.4,15.8,5.57,13.62,0
11.7,3573,47.9,24.4,14.55,0.99,32.5,92.1,15.6,5.18,13.68,0
11.75,3483,46.9,21.8,14.19,0.965,32.2,92.4,15.1,4.97,13.74,0
11.8,3345,50.6,20.5,14.49,0.986,32.3,92.1,14.4,4.82,13.76,0
11.85,3239,47.0,16.3,14.61,0.994,32.4,92.0,13.7,4.52,13.79,0
11.9,3127,42.0,13.0,14.27,0.971,32.2,92.1,12.9,3.97,13.71,0
11.95,3013,41.4,10.1,14.81,1.007,32.4,91.9,13.5,3.82,13.73,0
12.0,3015,42.5,10.3,14.73,1.002,32.1,92.2,13.7,3.91,13.87,0
12.05,2979,40.4,10.4,15.14,1.03,33.0,92.0,13.3,3.79,13.73,0
12.1,2925,41.6,9.3,14.74,1.003,31.8,92.5,12.9,4.11,13.73,0
12.15,2915,45.1,10.6,14.65,0.996,32.3,91.9,12.5,4.17,13.8,0
12.2,2843,42.9,10.2,14.64,0.996,32.2,92.9,13.1,3.9,13.72,0
12.25,2822,40.7,9.9,14.61,0.994,32.5,92.4,12.3,3.88,13.69,0
12.3,2793,40.4,9.4,14.49,0.986,32.4,92.4,12.9,3.63,13.75,0
12.35,2764,41.5,9.1,14.76,1.004,32.3,92.5,13.4,3.67,13.78,0
12.4,2732,40.3,9.4,14.83,1.009,32.9,92.6,12.8,3.75,13.89,0
12.45,2656,40.1,8.7,14.64,0.996,32.7,92.6,13.0,3.54,13.79,0
12.5,2628,41.7,9.1,14.75,1.004,32.2,92.3,12.9,3.79,13.81,0
12.55,2616,40.3,9.1,14.5,0.987,32.7,92.6,12.3,3.51,13.68,0
12.6,2580,38.8,8.5,15.03,1.022,33.2,92.3,12.9,3.52,13.75,0
12.65,2559,40.0,7.8,14.71,1.0,32.2,92.7,13.2,3.53,13.82,0
12.7,2485,39.2,8.0,14.53,0.988,32.4,92.3,13.3,3.34,13.76,0
12.75,2488,38.0,8.6,14.55,0.99,32.3,92.3,13.2,3.26,13.71,0
12.8,2431,41.7,7.9,14.69,0.999,32.9,92.4,12.3,3.53,13.69,0
12.85,2387,42.1,7.3,14.49,0.986,32.8,92.4,12.5,3.59,13.74,0
12.9,2356,42.1,7.7,14.68,0.998,32.9,92.5,12.1,3.51,13.82,0
12.95,2324,39.4,7.1,14.53,0.988,32.7,92.6,12.3,3.15,13.71,0
13.0,2274,40.5,7.6,14.71,1.001,33.1,92.9,11.6,3.38,13.8,0
13.05,2262,39.8,7.2,14.53,0.988,32.8,92.5,12.7,3.07,13.82,0
13.1,2219,40.8,7.2,14.52,0.988,32.8,92.6,12.5,3.17,13.79,0
13.15,2189,37.5,6.1,14.72,1.001,33.0,92.6,13.0,3.09,13.79,0
13.2,2138,38.1,6.9,14.62,0.994,32.7,92.3,12.6,2.95,13.8,0
13.25,2112,38.9,7.3,14.62,0.995,33.3,92.4,13.2,3.02,13.77,0
13.3,2057,37.9,6.5,14.63,0.995,32.9,92.4,13.0,2.83,13.76,0
13.35,2058,39.8,7.0,14.79,1.006,33.1,92.5,13.0,3.09,13.78,0
13.4,2012,40.3,7.1,14.9,1.013,33.1,92.7,12.5,2.87,13.75,0
13.45,1968,40.5,6.3,14.83,1.009,32.8,93.0,12.7,3.03,13.66,0
13.5,1914,38.4,6.4,14.56,0.99,32.8,92.8,12.9,2.74,13.78,0
13.55,1884,40.8,6.2,14.78,1.006,32.3,92.7,13.1,2.91,13.77,0
13.6,1880,39.9,6.8,14.57,0.991,32.7,92.6,12.8,2.85,13.8,0
13.65,1824,36.9,6.5,14.53,0.989,32.9,92.9,14.5,2.61,13.73,0
13.7,1815,39.0,5.9,14.97,1.019,32.7,92.6,12.2,2.73,13.8,0
13.75,1761,39.7,5.9,14.83,1.009,33.2,92.7,12.7,2.74,13.85,0
13.8,1715,41.6,6.1,14.36,0.977,33.4,92.8,12.5,2.75,13.92,0
13.85,1660,38.1,5.8,14.78,1.005,32.3,92.9,12.3,2.56,13.71,0
13.9,1627,38.3,5.5,14.85,1.01,33.0,92.8,11.9,2.63,13.74,0
13.95,1610,38.1,5.8,14.83,1.009,32.9,92.9,12.5,2.74,13.7,0
14.0,1554,38.1,5.4,14.74,1.003,32.8,93.0,12.2,2.51,13.77,0
14.05,1568,39.7,4.8,14.54,0.989,33.3,93.0,12.2,2.5,13.79,0
14.1,1508,39.9,4.5,14.91,1.014,33.2,92.9,12.4,2.54,13.78,0
14.15,1462,37.3,4.7,14.81,1.007,32.8,92.7,12.3,2.37,13.86,0
14.2,1441,37.5,5.2,14.92,1.015,33.0,93.0,12.6,2.55,13.76,0
14.25,1399,40.2,4.8,14.93,1.016,32.2,92.9,12.5,2.58,13.8,0
14.3,1376,37.9,4.8,14.63,0.995,33.4,93.3,12.1,2.55,13.79,0
14.35,1319,37.9,4.7,14.68,0.999,32.8,93.0,12.5,2.25,13.72,0
14.4,1300,36.8,4.7,14.43,0.981,33.1,92.8,12.7,2.29,13.69,0
14.45,1281,38.3,4.1,14.69,0.999,33.0,92.8,12.6,2.17,13.73,0
14.5,1209,36.3,3.2,14.59,0.993,33.1,93.0,11.6,2.17,13.89,0
14.55,1195,37.3,4.5,14.83,1.009,32.9,93.7,12.9,2.09,13.77,0
14.6,1156,38.6,3.7,14.55,0.99,33.2,92.7,11.8,2.31,13.79,0
14.65,1110,38.0,4.1,14.75,1.003,32.8,93.0,12.5,2.17,13.75,0
14.7,1057,39.1,4.0,14.79,1.006,33.1,93.4,12.1,2.07,13.81,0
14.75,1068,36.5,3.0,14.51,0.987,33.1,93.1,11.5,2.06,13.71,0
14.8,1009,38.4,3.2,14.78,1.006,33.0,93.5,11.6,2.1,13.79,0
14.85,963,34.7,3.0,14.89,1.013,33.2,93.2,13.3,1.77,13.76,0
14.9,953,37.0,3.7,15.01,1.021,33.3,93.1,12.4,1.96,13.86,0
14.95,909,36.5,2.8,14.56,0.991,33.3,93.2,12.4,1.81,13.82,0
15.0,915,37.0,3.4,14.59,0.993,33.4,93.2,12.2,1.95,13.74,0
15.05,901,40.1,3.7,14.82,1.008,33.1,93.2,11.9,2.15,13.81,0
15.1,876,37.0,3.3,14.76,1.004,33.5,93.3,11.9,2.01,13.84,0
15.15,856,36.8,3.1,14.58,0.992,33.1,93.3,12.4,1.95,13.79,0
15.2,900,36.5,3.5,14.9,1.013,32.8,93.4,11.7,1.96,13.83,0
15.25,923,35.7,2.9,14.85,1.01,33.7,93.6,12.3,1.95,13.7,0
15.3,893,35.2,2.8,14.46,0.983,33.2,93.4,12.2,1.85,13.77,0
15.35,891,37.2,3.6,14.98,1.019,33.2,93.4,13.0,2.04,13.74,0
15.4,895,37.4,2.8,14.75,1.003,33.1,93.3,12.3,1.91,13.83,0
15.45,886,38.0,2.7,14.77,1.005,33.2,93.4,11.5,1.94,13.81,0
